quaternionTimestamp,quaternionX,quaternionY,quaternionZ,quaternionW,magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularSpeedTimestamp,angularSpeedX,angularSpeedY,angularSpeedZ
6729212930,-0.6999811,0.17493914,0.2338301,-0.65172565,6729212930,0.24575625,0.4178415,-0.19930185,6729212930,0.99727285,-9.731296,0.3847404,6729212930,0.00015525054,-0.015418871,0.001826439
6729223096,-0.699966,0.17496991,0.23386385,-0.6517214,6729223096,0.24358343,0.42100793,-0.19798774,6729223096,0.92004263,-9.762579,0.4092846,6729223096,-0.0008240435,-0.0077595543,0.00042838324
6729232965,-0.69997615,0.17493996,0.23383026,-0.65173066,6729232965,0.24576426,0.418892,-0.19573683,6729232965,0.9205102,-9.786028,0.27288914,6729232965,0.0016445536,0.014369444,-0.00023377873
6729243109,-0.6999969,0.1748812,0.23377366,-0.6517445,6729243109,0.2446532,0.41784856,-0.2016511,6729243109,1.0454993,-9.772768,0.41179103,6729243109,0.0006570667,0.015421832,-0.0010437407
6729253253,-0.6999993,0.17488879,0.23377788,-0.65173835,6729253253,0.24349856,0.4147014,-0.20064786,6729253253,1.032826,-9.733928,0.43655145,6729253253,-0.00037868228,-0.006372989,0.001767084
6729262930,-0.6999702,0.17496818,0.2338571,-0.6517199,6729262930,0.24349856,0.4147014,-0.20064786,6729262930,1.061382,-9.715671,0.4613765,6729262930,-0.0011597336,-0.02597871,0.00215331
6729273051,-0.6999398,0.1750601,0.23394737,-0.6516955,6729273051,0.24580094,0.42099497,-0.19914244,6729273051,1.0806005,-9.712191,0.42349854,6729273051,0.00085527543,-0.023755189,0.0020040367
6729282923,-0.69993657,0.17506926,0.2339557,-0.6516934,6729282923,0.24581812,0.42204633,-0.20025992,6729282923,0.86889875,-9.786157,0.34985384,6729282923,0.0017351788,0.005441852,-0.0001568012
6729292938,-0.699963,0.1749998,0.23387872,-0.6517114,6729292938,0.24690856,0.42098838,-0.19913447,6729292938,0.93835175,-9.794379,0.48696622,6729292938,0.001058937,0.023274343,-0.00073099695
6729303155,-0.6999836,0.17493968,0.2338235,-0.6517251,6729303155,0.24247581,0.42101452,-0.19799569,6729303155,1.0312607,-9.751531,0.475752,6729303155,-0.0014908761,0.014804616,-0.0005203858
6729312940,-0.69998616,0.1749355,0.23382282,-0.65172374,6729312940,0.24244143,0.41891176,-0.19576071,6729312940,0.9888558,-9.730546,0.44303563,6729312940,-0.0014812569,-0.006314935,0.00015152153
6729323143,-0.69996786,0.17497915,0.23386812,-0.65171546,6729323143,0.24799898,0.41993043,-0.19800901,6729323143,0.8960691,-9.74916,0.40105754,6729323143,-0.00037871674,-0.015335518,0.0005733017
6729332888,-0.6999626,0.17499216,0.23387069,-0.6517167,6729332888,0.24467386,0.41994995,-0.19686231,6729332888,0.8691392,-9.798092,0.33438772,6729332888,0.00029452052,0.0035675215,0.0003323611
6729343143,-0.6999877,0.17492639,0.23379602,-0.6517341,6729343143,0.24355361,0.4189056,-0.19809403,6729343143,0.9881277,-9.818288,0.39573482,6729343143,0.0016672164,0.023722842,-0.00092217885
6729353042,-0.7000209,0.17485942,0.23372522,-0.65174186,6729353042,0.24133839,0.4189188,-0.19810995,6729353042,1.0336957,-9.78599,0.4178564,6729353042,0.0018273052,0.017471772,-0.0009980705
6729362922,-0.7000214,0.1748575,0.2337357,-0.65173817,6729362922,0.24465092,0.4178483,-0.20048048,6729362922,1.0473261,-9.761848,0.38826936,6729362922,-0.00078431424,-0.006495798,0.00013899524
6729372941,-0.6999983,0.17490894,0.2337935,-0.65172833,6729372941,0.24356852,0.41995677,-0.19804087,6729372941,0.9211155,-9.741755,0.42329794,6729372941,-0.0016538631,-0.01979739,0.0016246485
6729383101,-0.6999787,0.17493184,0.23381342,-0.65173614,6729383101,0.24578607,0.41994378,-0.19919558,6729383101,0.8399847,-9.770144,0.24007598,6729383101,-0.0029370906,-0.00037527923,0.0005278867
6729392941,-0.69999844,0.1748688,0.23374718,-0.6517557,6729392941,0.24358572,0.4210081,-0.19915837,6729392941,0.9269734,-9.766117,0.31679857,6729392941,0.00034107734,0.023779308,-0.0013957359
6729403151,-0.7000296,0.17480317,0.23368023,-0.6517638,6729403151,0.24468073,0.4199506,-0.20037419,6729403151,1.0395484,-9.738672,0.36999527,6729403151,0.0025274632,0.015083364,-0.0014206395
6729412932,-0.7000269,0.17482002,0.2337035,-0.6517538,6729412932,0.24580094,0.42099497,-0.19914244,6729412932,1.1073391,-9.71689,0.3526987,6729412932,7.912982e-05,-0.013321239,0.00030148122
6729422929,-0.7000019,0.1748976,0.23379199,-0.6517281,6729422929,0.24578376,0.4199436,-0.19802496,6729422929,0.97303885,-9.745794,0.4326875,6729422929,0.0010149535,-0.027932504,-0.00023413915
6729433081,-0.69997823,0.17495729,0.23385373,-0.65171534,6729433081,0.2424609,0.41996333,-0.19804884,6729433081,0.88089705,-9.815906,0.3341627,6729433081,-0.0019476833,-0.013584369,-9.725336e-05
6729443107,-0.69997674,0.17494331,0.23383199,-0.65172845,6729443107,0.24240129,0.4157587,-0.19826141,6729443107,0.9469703,-9.793378,0.42291835,6729443107,-0.0018599741,0.009076876,0.0009564096
6729453256,-0.6999765,0.1749371,0.23382576,-0.6517327,6729453256,0.24463598,0.41679713,-0.2005336,6729453256,1.0330544,-9.7415905,0.49291742,6729453256,-0.0023260731,-0.001116965,0.00074904226
6729462978,-0.6999502,0.17499763,0.23389232,-0.6517208,6729462978,0.24354103,0.41785464,-0.1993178,6729462978,1.0777506,-9.682663,0.5521282,6729462978,-0.0015692906,-0.025089867,0.00013040472
6729472956,-0.699913,0.17509946,0.23400223,-0.6516939,6729472956,0.24355134,0.4189054,-0.19692338,6729472956,0.9784467,-9.734978,0.55116206,6729472956,-0.0003703367,-0.03204136,0.00057545677
6729483099,-0.6998989,0.1751603,0.23406205,-0.6516712,6729483099,0.2446658,0.41889945,-0.20042734,6729483099,0.8775669,-9.813604,0.5009387,6729483099,0.00205167,-0.01016849,7.748604e-07
6729493084,-0.6999239,0.1751097,0.23399858,-0.6516808,6729493084,0.243588,0.42100835,-0.20032899,6729493084,0.88532346,-9.840683,0.47255883,6729493084,0.0030053128,0.026056588,0.00024364702
6729502934,-0.69997084,0.17499359,0.23386286,-0.6517102,6729502934,0.24689367,0.4199372,-0.19918762,6729502934,1.0401149,-9.75804,0.57017493,6729502934,0.00058720727,0.037487447,0.0014992729
6729513047,-0.7000034,0.17490248,0.23376276,-0.6517357,6729513047,0.24469334,0.42100155,-0.19915041,6729513047,1.0612447,-9.71047,0.4827909,6729513047,-0.002133347,0.022929896,0.0015127892
6729522916,-0.7000083,0.17487057,0.2337385,-0.6517477,6729522916,0.24467386,0.41994995,-0.19686231,6729522916,1.0252103,-9.70192,0.45627654,6729522916,-0.0014429474,0.0047277343,-0.0002481565
6729533183,-0.7000085,0.17486243,0.2337418,-0.6517484,6729533183,0.24466352,0.41889924,-0.1992567,6729533183,1.0044198,-9.751038,0.3288807,6729533183,-0.00012203213,-0.00094615016,-0.0015567578
6729542930,-0.7000126,0.17484295,0.2337277,-0.6517544,6729542930,0.24351577,0.41575283,-0.20176534,6729542930,0.9619792,-9.78451,0.29066533,6729542930,0.00057209376,0.008812358,-0.00037190504
6729552934,-0.7000179,0.17483018,0.23371097,-0.651758,6729552934,0.24131088,0.41681668,-0.19938686,6729552934,0.9550147,-9.763697,0.31484073,6729552934,6.8174675e-05,0.005721573,-5.248934e-05
6729563117,-0.7000114,0.17484182,0.23371719,-0.65175974,6729563117,0.24242306,0.41681057,-0.20172015,6729563117,1.0245374,-9.726997,0.29979873,6729563117,2.024509e-05,-0.0030546803,0.00096681993
6729572947,-0.69998896,0.17487296,0.23374717,-0.65176475,6729572947,0.24246322,0.41996357,-0.19921947,6729572947,0.90937597,-9.703992,0.3664884,6729572947,-0.0036578886,-0.010058884,0.0010724757
6729583106,-0.6999707,0.17490424,0.23378126,-0.65176374,6729583106,0.24359603,0.42205888,-0.19676398,6729583106,0.9597688,-9.736356,0.34955066,6729583106,-0.001122294,-0.010034017,0.000117417425
6729592934,-0.6999608,0.17489573,0.23378539,-0.6517751,6729592934,0.24470824,0.4220527,-0.19909728,6729592934,1.049582,-9.758707,0.35757506,6729592934,-0.0020133015,0.0021106135,-9.70969e-05
6729602924,-0.6999679,0.17488049,0.23377526,-0.6517752,6729602924,0.24246322,0.41996357,-0.19921947,6729602924,0.9581158,-9.759659,0.41062114,6729602924,0.00090385973,-0.00022119004,-0.0010125432
6729613043,-0.69996667,0.17490272,0.23379752,-0.65176255,6729613043,0.24578607,0.41994378,-0.19919558,6729613043,0.964951,-9.729174,0.46376932,6729613043,0.0019103903,-0.008328392,0.00026845
6729622927,-0.69995797,0.17493941,0.23383415,-0.651749,6729622927,0.24358343,0.42100793,-0.19798774,6729622927,0.96911013,-9.754898,0.4020489,6729622927,0.0007383544,-0.011763244,0.0012287693
6729633038,-0.69995177,0.17497386,0.23386003,-0.6517371,6729633038,0.24472079,0.42100424,-0.21319798,6729633038,0.95663846,-9.790127,0.38209316,6729633038,0.0021052863,-0.00746095,0.00025399774
6729643143,-0.6999568,0.17496015,0.23383848,-0.65174305,6729643143,0.24355592,0.41890582,-0.19926465,6729643143,0.9218757,-9.804869,0.4514073,6729643143,0.00013843644,0.008618191,0.00041994173
6729652931,-0.6999668,0.17492506,0.2338015,-0.65175503,6729652931,0.24243797,0.4178617,-0.20166701,6729652931,0.97263634,-9.77678,0.43845278,6729652931,-0.0014520884,0.009671686,0.00047115702
6729663102,-0.699968,0.17491722,0.23380098,-0.65175605,6729663102,0.24354789,0.41785535,-0.20282969,6729663102,1.0398135,-9.72726,0.46862066,6729663102,-0.000548481,-0.00012715906,-0.00034669414
6729672946,-0.69996077,0.17495318,0.23383935,-0.6517404,6729672946,0.24247581,0.42101452,-0.19799569,6729672946,1.0076045,-9.755832,0.43266994,6729672946,0.000987648,-0.011382449,0.0010401197
6729682938,-0.69995105,0.17500989,0.2338915,-0.6517169,6729682938,0.24692117,0.42203933,-0.19791071,6729682938,0.98827964,-9.785722,0.4361701,6729682938,0.0020581214,-0.015055327,0.001439807
6729693047,-0.6999454,0.17502785,0.23390466,-0.6517134,6729693047,0.2436006,0.4220593,-0.19910523,6729693047,0.9652447,-9.793816,0.34979123,6729693047,0.0006820094,-0.0016403543,0.0011918014
6729702925,-0.69995785,0.17499551,0.23386163,-0.6517242,6729702925,0.24468876,0.4210011,-0.19680914,6729702925,0.9842472,-9.765783,0.40218145,6729702925,-7.18208e-05,0.013789659,-0.00028979313
6729713042,-0.6999834,0.17492121,0.23378941,-0.65174264,6729713042,0.24581812,0.42204633,-0.20025992,6729713042,0.987043,-9.718585,0.4591821,6729713042,0.00042356923,0.020213015,-0.0016209763
6729722922,-0.7000027,0.17486934,0.23374923,-0.6517502,6729722922,0.24468876,0.4210011,-0.19680914,6729722922,1.0532621,-9.702839,0.42992425,6729722922,-9.132549e-06,0.01141972,-0.0012630746
6729733081,-0.70000404,0.17485066,0.23374122,-0.65175664,6729733081,0.24577114,0.41889265,-0.19924872,6729733081,1.0517215,-9.780281,0.42697555,6729733081,-0.00054325256,0.0005932953,-0.0012384923
6729743117,-0.700002,0.17484692,0.23373543,-0.6517619,6729743117,0.242446,0.4189122,-0.19810197,6729743117,0.93309665,-9.7601595,0.33867252,6729743117,5.961396e-06,0.0012702504,0.00030032732
6729753152,-0.70000637,0.17484234,0.23371404,-0.65176606,6729753152,0.24240816,0.4157594,-0.20177332,6729753152,0.91036135,-9.756677,0.39554942,6729753152,0.0015772311,0.007577755,0.0015804395
6729762934,-0.70001626,0.17482205,0.23368303,-0.6517721,6729762934,0.24239783,0.41470867,-0.20416771,6729762934,0.96404344,-9.716379,0.38935506,6729762934,0.0017416589,0.008023118,0.0006609559
6729773060,-0.70001453,0.1748301,0.23368876,-0.6517697,6729773060,0.2402285,0.41892514,-0.19694728,6729773060,1.0672525,-9.75251,0.3400089,6729773060,-0.00051700976,-0.0018750904,7.599965e-05
6729782925,-0.70000327,0.1748374,0.23371215,-0.6517715,6729782925,0.24464862,0.41784808,-0.19930984,6729782925,0.98353046,-9.740669,0.31443968,6729782925,-0.00060343184,-0.007852512,-0.001464922
6729793046,-0.6999879,0.17484412,0.23373298,-0.6517787,6729793046,0.24580897,0.42204547,-0.1955774,6729793046,0.9367319,-9.759687,0.3568478,6729793046,-0.0015264396,-0.003174671,-0.0011995891
6729802944,-0.69999176,0.1748377,0.23371659,-0.65178216,6729802944,0.24465895,0.41889882,-0.19691543,6729802944,0.93911535,-9.741295,0.31625122,6729802944,0.001026379,0.0011551548,0.00013240892
6729812942,-0.6999864,0.17484601,0.23371072,-0.6517877,6729812942,0.24358115,0.4210077,-0.1968171,6729812942,1.0021038,-9.750751,0.3514408,6729812942,0.0012373291,-0.00384231,0.00267581
6729823109,-0.69997483,0.17488858,0.23374993,-0.6517747,6729823109,0.24687874,0.41888607,-0.19924076,6729823109,1.0309296,-9.775061,0.4013887,6729823109,0.0008054245,-0.015219953,0.00035986677
6729833043,-0.6999559,0.17496729,0.23382883,-0.6517456,6729833043,0.24465895,0.41889882,-0.19691543,6729833043,0.96137637,-9.76302,0.48464066,6729833043,0.0006029522,-0.025466219,0.0002870215
6729843149,-0.6999292,0.17503272,0.2339005,-0.651731,6729843149,0.24130055,0.415766,-0.20178129,6729843149,0.9162558,-9.780202,0.3656194,6729843149,-0.0023509306,-0.016003026,0.000115009956
6729852939,-0.6999136,0.17505495,0.23392561,-0.65173274,6729852939,0.24356852,0.41995677,-0.19804087,6729852939,0.9383594,-9.757527,0.38631526,6729852939,-0.0017729849,-0.0013873018,-0.0006174892
6729862930,-0.6999178,0.17504042,0.2339115,-0.6517373,6729862930,0.2457734,0.41889286,-0.20041935,6729862930,0.968926,-9.738323,0.514898,6729862930,7.887371e-06,0.004859305,-0.0005677426
6729873051,-0.6999329,0.17502072,0.23389257,-0.6517331,6729873051,0.24466123,0.418899,-0.19808605,6729873051,1.0536162,-9.738315,0.48036942,6729873051,0.00065344106,0.0025820583,-0.0003963355
6729882923,-0.69993633,0.17503767,0.23390572,-0.65172005,6729882923,0.24580552,0.42099544,-0.2014837,6729882923,1.0252293,-9.762193,0.44316557,6729882923,0.0023232084,-0.008476343,0.0011224141
6729892929,-0.6999295,0.17506099,0.23392831,-0.65171313,6729892929,0.24467616,0.4199502,-0.19803293,6729892929,0.9954761,-9.761478,0.46155596,6729892929,-0.0004893765,-0.0037725149,0.00031007733
6729903155,-0.6999416,0.17504501,0.23391488,-0.65170926,6729903155,0.243588,0.42100835,-0.20032899,6729903155,0.9575418,-9.751899,0.4864843,6729903155,0.00038084108,0.006889432,-0.0009702714
6729912927,-0.69995767,0.17499731,0.23387195,-0.65172017,6729912927,0.24467158,0.41994977,-0.19569166,6729912927,0.9151731,-9.777969,0.4155409,6729912927,-0.0011343616,0.015093318,-0.001454901
6729923107,-0.6999756,0.17493124,0.23380865,-0.65174127,6729923107,0.24579407,0.4209943,-0.19563055,6729923107,0.9921764,-9.7372,0.38167325,6729923107,-0.00063708983,0.016147802,-0.0007420555
6729933083,-0.69998115,0.17491251,0.23378201,-0.65175,6729933083,0.2435456,0.4178551,-0.20165905,6729933083,0.99823177,-9.752867,0.40693414,6729933083,-0.0009404579,0.0027080672,0.001769443
6729942902,-0.6999853,0.17491162,0.23377268,-0.651749,6729942902,0.24463141,0.4167967,-0.19819234,6729942902,0.9648168,-9.795191,0.36803278,6729942902,0.0010552648,0.0007996978,0.00011138711
6729953288,-0.6999874,0.17490947,0.23377126,-0.651748,6729953288,0.24354103,0.41785464,-0.1993178,6729953288,1.0275962,-9.799019,0.39857003,6729953288,0.00066424534,0.00029703602,-0.00085048005
6729962975,-0.6999877,0.17490889,0.23377435,-0.6517467,6729962975,0.24240816,0.4157594,-0.20177332,6729962975,1.0293516,-9.789896,0.33678737,6729962975,0.00054525584,-7.887371e-06,-0.0005213991
6729973058,-0.699987,0.17491361,0.23378685,-0.6517416,6729973058,0.24466352,0.41889924,-0.1992567,6729973058,0.9586772,-9.770686,0.40722016,6729973058,0.00074470136,-0.0006956132,-0.0007969737
6729982922,-0.6999769,0.17492495,0.23380348,-0.6517435,6729982922,0.24579865,0.42099473,-0.19797179,6729982922,0.95136905,-9.765057,0.4293896,6729982922,-0.0008611302,-0.0048736846,0.0004315516
6729993080,-0.6999685,0.17493276,0.23380724,-0.65174913,6729993080,0.24578607,0.41994378,-0.19919558,6729993080,0.97062325,-9.788776,0.3380753,6729993080,-0.0014294963,0.0012455778,0.00083582103
6730003162,-0.6999735,0.17491104,0.23377891,-0.65175974,6730003162,0.24357082,0.41995698,-0.19921151,6730003162,1.014727,-9.754008,0.4519187,6730003162,-0.0011061924,0.008180144,-0.00057234894
6730012930,-0.6999812,0.17488973,0.23375979,-0.65176404,6730012930,0.24465092,0.4178483,-0.20048048,6730012930,1.0013485,-9.77036,0.3414377,6730012930,0.00025683548,0.0063588507,-0.0005741194
6730022925,-0.69998294,0.17488024,0.23375884,-0.65176505,6730022925,0.24467386,0.41994995,-0.19686231,6730022925,1.0098802,-9.751202,0.36143842,6730022925,0.0003621718,0.0018670848,-0.00048207212
6730033148,-0.69998074,0.1749014,0.23378289,-0.6517531,6730033148,0.24248844,0.42206547,-0.19677192,6730033148,0.9951507,-9.73941,0.44948387,6730033148,0.0012097051,-0.011285106,-0.00019366946
6730042967,-0.6999686,0.17493902,0.2338282,-0.6517398,6730042967,0.24353871,0.41785446,-0.19814716,6730042967,0.99928427,-9.744171,0.42764735,6730042967,-0.0014788145,-0.013160488,-0.00036039203
6730053051,-0.69995314,0.17497353,0.23385821,-0.6517363,6730053051,0.24469563,0.42100176,-0.20032105,6730053051,0.9408335,-9.76598,0.37205893,6730053051,-0.00130603,-0.007153374,0.0005054381
6730062924,-0.6999432,0.17499073,0.23386776,-0.65173894,6730062924,0.24245287,0.4189129,-0.20161387,6730062924,0.9283902,-9.730989,0.39960134,6730062924,-0.001469552,0.00016970187,0.002188176
6730072941,-0.6999386,0.174978,0.2338572,-0.65175116,6730072941,0.24467616,0.4199502,-0.19803293,6730072941,0.9762738,-9.72397,0.37652892,6730072941,-0.0016392791,0.0073834313,0.0003924528
6730083101,-0.699948,0.1749616,0.23384126,-0.6517511,6730083101,0.24577114,0.41889265,-0.19924872,6730083101,1.015378,-9.756075,0.4237456,6730083101,0.0015801685,0.0025532665,-0.00057743024
6730092940,-0.69994664,0.17496191,0.2338511,-0.65174896,6730092940,0.24578376,0.4199436,-0.19802496,6730092940,1.006247,-9.772864,0.37634483,6730092940,0.00038531143,-0.005097312,-0.0011127479
6730102923,-0.6999419,0.17498083,0.23387764,-0.6517395,6730102923,0.24467616,0.4199502,-0.19803293,6730102923,0.98260826,-9.763552,0.4847737,6730102923,0.0008830568,-0.00962476,-0.0008067284
6730113042,-0.69993556,0.17502432,0.23390646,-0.6517242,6730113042,0.2436029,0.4220595,-0.20027587,6730113042,0.9268567,-9.778638,0.49510658,6730113042,0.0008275937,-0.009810395,0.0015150327
6730122922,-0.6999377,0.17501514,0.23388414,-0.65173244,6730122922,0.24468876,0.4210011,-0.19680914,6730122922,0.8754804,-9.772158,0.35189065,6730122922,-0.00096898666,0.009582539,0.00097305607
6730133180,-0.69995683,0.1749479,0.23381336,-0.65175533,6730133180,0.24359833,0.42205906,-0.1979346,6730133180,0.9350362,-9.760855,0.50442606,6730133180,-0.0018632058,0.020788923,-0.0007338021
6730142893,-0.69998175,0.17488351,0.23375316,-0.6517675,6730142893,0.2457585,0.4178417,-0.2004725,6730142893,1.0444312,-9.7854595,0.431391,6730142893,0.00047203805,0.018475711,-0.0014744205
6730152967,-0.69999146,0.17485377,0.23372981,-0.65177333,6730152967,0.24136017,0.41997063,-0.20156871,6730152967,1.0692837,-9.780458,0.40664357,6730152967,4.3980777e-05,0.0057534273,-0.0005424917
6730163098,-0.69998467,0.17487718,0.2337616,-0.651763,6730163098,0.24352837,0.41680372,-0.20054157,6730163098,1.0014806,-9.785789,0.3613965,6730163098,0.0003739111,-0.010115353,0.00048107933
6730172945,-0.6999732,0.17489484,0.23378538,-0.65176195,6730172945,0.24470824,0.4220527,-0.19909728,6730172945,0.91024476,-9.780503,0.37802613,6730172945,-0.00046111643,-0.004639223,-0.00014427863
